chunk_id,title,source_url,length,normalized_length,semantic_category,pattern_family,flags_text,text
v01_p0016_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 16,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,15,15,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ลี้ยงนางนมประคบ
v01_p0018_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 18,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,11,11,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ปด้วยการถือ
v01_p0053_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 53,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,11,11,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,บัติปาราชิก
v01_p0086_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 86,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,42,41,suspected_fragment,trailing_fragment,contains_newline|no_clean_sentence_end|chunk_index_gt_zero,ยุดอยู่ ยินดี การถอนออก ต้องอาบัติปาราชิก
v01_p0087_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 87,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,31,30,meaningful_content,other,contains_newline|chunk_index_gt_zero,ดีการถอนออก ต้องอาบัติปาราชิก.
v01_p0088_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 88,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,27,27,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,การถอนออก ต้องอาบัติปาราชิก
v01_p0093_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 93,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,28,28,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,นักภิกษุ แล้วให้อมองค์กำเนิด
v01_p0096_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 96,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,27,27,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,งไม่มีเครื่องลาด ของภิกษุมี
v01_p0097_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 97,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,31,31,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,่องลาด ๑ ของหญิงไม่มีเครื่องลาด
v01_p0098_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 98,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,42,42,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ลาด ของภิกษุไม่มีเครื่องลาด ๑ ของหญิงไม่มี
v01_p0100_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 100,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,47,46,suspected_fragment,trailing_fragment,contains_newline|no_clean_sentence_end|chunk_index_gt_zero,ดีการหยุดอยู่ ยินดีการถอนออก ต้องอาบัติปาราชิก
v01_p0166_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 166,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,41,41,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,จตุกกะกับ ๑๘ จตุกกะต้น รวมเป็น ๑๐๘ จตุกกะ
